Long,lat,fecha,NDVI,prec,suelos,dem,inundacion
-63.0961434388749,-32.8936977971417,09/01/15,0.2881877,64.4,6,146,0
-63.5636733770551,-33.7199330393036,09/01/15,0.4468612,2.9,5,147,0
-63.7626571709325,-33.3849701860493,09/01/15,0.5600296,13.1,5,214,0
-63.7185322552334,-33.6291915164075,09/01/15,0.1511542,41.8,5,170,0
-63.3011046718415,-33.6213803473633,09/01/15,0.2816792,41.8,5,131,0
-63.3437402410652,-33.6086751569876,09/01/15,0.4295312,1.6,5,137,0
-63.6035010608874,-33.5108711675895,09/01/15,0.3270064,4.7,5,172,0
-63.1634210765527,-33.1464835596227,09/01/15,0.212819,35.4,5,138,0
-63.8489710076953,-33.7885085231112,09/01/15,0.1870874,16.2,5,182,0
-63.1829937830629,-33.1389347014316,09/01/15,0.3018875,51,5,139,0
-63.1419207471915,-33.1594195469229,09/01/15,0.2298326,7.1,5,134,0
-63.6298547868427,-33.7665243241409,09/01/15,0.2512463,3.7,5,152,0
-63.6177209391578,-33.55255323239,09/01/15,0.154172,2.6,5,166,0
-63.3818128989293,-33.6307809006605,09/01/15,0.134352,14.8,5,135,0
-63.8004691856019,-33.5962732441048,09/01/15,0.2477896,3.8,5,180,0
-63.3605222306921,-33.567006857607,09/01/15,0.3826611,31,5,144,0
-63.8702190374469,-33.7306225267879,09/01/15,0.5104095,8.9,5,190,0
-63.4989967796126,-33.5593871891127,09/01/15,0.563973,48.5,5,153,0
-63.4836471523572,-33.2357409737997,09/01/15,0.4760436,64.4,5,180,0
-63.8098679944146,-33.6993373021424,09/01/15,0.2597597,5.1,5,176,0
-63.4841043169597,-33.5215867760747,09/01/15,0.5803187,5.4,5,156,0
-63.2696248786966,-33.1083711115312,09/01/15,0.2502339,4.1,5,153,0
-63.1033199400606,-33.1787571898521,09/01/15,0.1630527,17.2,5,134,0
-63.4063994464732,-33.6168009444805,09/01/15,0.2583864,27.6,5,139,0
-63.3374908498252,-33.611373429441,09/01/15,0.357642,19.4,5,136,0
-63.7429934467872,-33.3734541384795,09/01/15,0.537218,4.5,5,215,0
-62.5281085890448,-33.7107446970254,09/01/15,0.4171781,4.5,5,118,0
-63.8432880324359,-33.6353281023071,09/01/15,0.5940686,1.8,5,199,0
-63.1786550606539,-32.872828806579,09/01/15,0.2037003,13.1,5,157,0
-63.7017535895485,-33.8220942078555,09/01/15,0.4796043,13.1,5,158,0
-63.2576100297377,-33.4291685341491,09/01/15,0.3859416,17.9,5,137,0
-63.1760649864373,-33.1533453839919,09/01/15,0.3397147,10,5,137,0
-63.2948453826051,-33.5103058941136,09/01/15,0.2688384,3.1,5,138,0
-63.5576800570955,-33.4278061184274,09/01/15,0.3708003,16.2,5,175,0
-63.8261579331938,-33.7379055006288,09/01/15,0.4406774,3.6,5,180,0
-63.1857343947918,-32.9002871345957,09/01/15,0.519532,6.9,5,158,0
-63.2087547414,-32.8601278812388,09/01/15,0.5982745,27.3,5,163,0
-63.3981483120969,-33.6485994153447,09/01/15,0.2715696,5.5,5,135,0
-63.8475053757847,-33.6137212052297,09/01/15,0.5907409,4.8,5,199,0
-63.2696610527904,-33.5400664680591,09/01/15,0.1767958,30.5,5,131,0
-63.6060170209446,-33.6416500687269,09/01/15,0.2491916,14.7,5,156,0
-63.279027599157,-33.244043399812,09/01/15,0.3990902,4.3,5,147,0
-63.2884449982756,-33.6683761877074,09/01/15,0.4899035,34.2,5,129,0
-63.2946316704795,-33.5679054125164,09/01/15,0.5211195,10.1,5,134,0
-63.1733178517819,-33.1464114894431,09/01/15,0.2224632,3.7,5,140,0
-63.2025943516496,-32.8503757941628,09/01/15,0.384693,4.8,5,160,0
-63.5570290464657,-33.5216068019895,09/01/15,0.1821286,3.7,5,165,0
-63.476731638475,-33.5515670111164,09/01/15,0.1976221,31,5,151,0
-63.5867448097271,-33.8290547761391,09/01/15,0.1822951,14.7,5,146,0
-63.7933315951232,-33.7842971991258,09/01/15,0.291878,17.2,5,170,0
-63.587215735601,-33.7560132842033,09/01/15,0.3895721,17.2,5,147,0
-63.5923711905823,-33.6221917888549,09/01/15,0.2581939,36,5,154,0
-63.1879718432846,-32.8383226238166,09/01/15,0.4684344,22.1,5,161,0
-63.7436319681109,-33.7353551105918,09/01/15,0.4272158,6.8,5,167,0
-63.060651921253,-33.2563525911362,09/01/15,0.4337393,2.5,5,127,0
-63.5828106143101,-33.4100665125469,09/01/15,0.4975625,12.8,5,180,0
-63.1208429684998,-33.3245745015368,09/01/15,0.2441113,6.8,5,126,0
-63.735461382024,-33.722251101919,09/01/15,0.1764841,3.8,5,165,0
-62.5143940644366,-33.6819282596337,09/01/15,0.5675676,14.7,5,121,0
-63.3800346288286,-33.5267410700102,09/01/15,0.1684705,10.1,5,145,0
-63.1655381390944,-33.4739713837947,09/01/15,0.3732155,1.8,5,125,0
-63.8384080370559,-33.7414193195225,09/01/15,0.4592108,3.5,5,183,0
-63.5380600971738,-33.485107463426,09/01/15,0.2395877,36,5,168,0
-63.8019291722514,-33.6783259584828,09/01/15,0.3781603,14.2,5,180,0
-63.272412689034,-33.1225379327294,09/01/15,0.3382774,6.9,5,151,0
-63.5116851567439,-33.5081590772771,09/01/15,0.2678185,4.4,5,164,0
-63.0440680391078,-33.2563073986735,09/01/15,0.2154733,11.4,5,125,0
-63.545879968952,-33.7332136345678,09/01/15,0.4478511,18.8,5,143,0
-63.5175167354115,-33.5867983024426,09/01/15,0.5393462,5.5,5,153,0
-63.4271853406561,-33.6025974005403,09/01/15,0.243521,39.1,5,143,0
-63.3174832471845,-33.6262659657112,09/01/15,0.42386,2.6,5,131,0
-63.5686967582135,-33.7940585288583,09/01/15,0.2281279,4.1,5,142,0
-63.7788531242762,-33.6120049835257,09/01/15,0.6007413,52.7,5,180,0
-63.6551606241977,-33.7247673708605,09/01/15,0.3017348,12.8,5,153,0
-63.5660205677386,-33.7289133828461,09/01/15,0.3502492,1.8,5,146,0
-63.7050120376489,-33.7045230727372,09/01/15,0.3246014,47.6,5,162,0
-63.5394103866217,-33.5085607191106,09/01/15,0.1909429,47.6,5,161,0
-62.2894487243114,-33.3498719209611,09/01/15,0.6086237,2.7,4,115,0
-62.4095485062063,-32.9039758189352,09/01/15,0.321128,18.6,4,108,0
-62.390870711537,-32.9962875191405,09/01/15,0.4687866,3.2,4,111,0
-62.1447636915685,-32.8580164523801,09/01/15,0.5324667,5.9,4,108,0
-62.564805900082,-33.7898568644369,09/01/15,0.6322564,58.6,4,122,0
-62.4602331155565,-33.8238321211034,09/01/15,0.2483328,30.5,4,117,0
-62.2304799393022,-33.639132530278,09/01/15,0.4978061,4.2,4,118,0
-62.7823321604367,-33.8136960137606,09/01/15,0.559717,4.7,4,121,0
-62.3119662718857,-33.1372494675358,09/01/15,0.5277686,2.2,4,113,0
-62.1897430822748,-33.1757572605196,09/01/15,0.6151011,26.9,4,118,0
-62.1279374933559,-33.0034887851727,09/01/15,0.6099743,60.8,4,101,0
-62.3825365622227,-33.5879321340361,09/01/15,0.1565233,22.1,4,121,0
-62.1247625797078,-33.5748084372552,09/01/15,0.6480447,23.3,4,117,0
-62.2827563039916,-32.9672823992339,09/01/15,0.6054991,4.5,4,106,0
-62.2554655431504,-33.14422391105,09/01/15,0.5145028,14.4,4,114,0
-62.4076613411522,-33.2089156965384,09/01/15,0.6190915,1.8,4,118,0
-62.354349277692,-32.8071229769104,09/01/15,0.1534888,8.4,4,112,0
-62.1652904973401,-33.2719878627807,09/01/15,0.3511761,12.6,4,117,0
-62.5365268193648,-33.3055811465021,09/01/15,-0.08988121,22.9,4,110,1
-62.712487410258,-32.9894965520733,09/01/15,0.556679,12.6,4,117,0
-62.2197798249899,-33.1435005085,09/01/15,0.5002665,8,4,113,0
-62.6036814696313,-32.8117784141719,09/01/15,0.4724142,4.1,4,120,0
-62.6598274233936,-32.9862678133617,09/01/15,0.6190127,25.2,4,114,0
-62.4170218064055,-33.1964835059361,09/01/15,0.5445545,5.4,4,118,0
-62.2466140818388,-33.6146913199976,09/01/15,0.6152789,2.2,4,115,0
-62.1758072319983,-32.941281001763,09/01/15,0.5578368,3,4,93,0
-62.1765155809092,-33.4153944847085,09/01/15,0.6532235,1.8,4,117,0
-62.6874676897389,-33.7372770349042,09/01/15,0.3655565,10.1,4,127,0
-62.2821695467112,-33.7489310831204,09/01/15,0.587204,14.7,4,115,0
-62.3965682909046,-33.1268003911991,09/01/15,0.4846801,47.5,4,113,0
-62.2218554969372,-33.1801259994123,09/01/15,0.5298268,5.9,4,117,0
-62.2476149427639,-32.8889357117462,09/01/15,0.449197,22.1,4,96,0
-62.3331640802569,-33.545929922047,09/01/15,0.5321101,8.3,4,118,0
-62.2234898408837,-33.226568411323,09/01/15,0.6452513,26.3,4,113,0
-62.1635735863307,-33.500017341417,09/01/15,0.6603492,27.6,4,117,0
-62.7461637180532,-33.8201679172116,09/01/15,0.2847286,23.9,4,122,0
-62.1776966721439,-33.5634457620431,09/01/15,0.6068196,5.2,4,116,0
-62.1364237860013,-33.7480316432962,09/01/15,0.4020359,5.2,4,120,0
-62.2071046120202,-33.1073920877235,09/01/15,0.4854398,4.1,4,108,0
-62.3574083435896,-33.7219729715056,09/01/15,0.2874337,15.6,4,119,0
-62.3205024609882,-33.6994026900167,09/01/15,0.3304609,1,4,122,0
-62.7771281614857,-33.364007570467,09/01/15,0.2725177,38.5,4,113,0
-62.2028058518649,-33.5651866762776,09/01/15,0.6282901,3.7,4,116,0
-62.2986813987599,-33.1162771005428,09/01/15,0.1918219,16.2,4,109,0
-62.374156304331,-32.8385885574554,09/01/15,0.5286376,16.2,4,112,0
-62.5366607141516,-32.8875118587674,09/01/15,0.5152395,5.1,4,113,0
-62.2404379424369,-33.5648864257069,09/01/15,-0.03764225,1.8,4,108,1
-62.316037621218,-33.0900732310006,09/01/15,0.6116798,3,4,108,0
-62.1535610586163,-33.1329122091397,09/01/15,0.6047198,12.6,4,110,0
-62.1794828915751,-33.2735697288726,09/01/15,0.3877844,14.4,4,130,0
-62.4121427413349,-32.8175047264466,09/01/15,0.6128521,4.7,4,103,0
-62.6396613470354,-33.0227357753635,09/01/15,0.5913479,22.2,4,116,0
-62.3781798957312,-32.972909924055,09/01/15,0.4460725,14.7,4,109,0
-62.3379954800421,-33.793260455478,09/01/15,0.5743309,2.2,4,122,0
-62.2917287761654,-33.7856909948493,09/01/15,0.5643675,2.9,4,119,0
-62.2388559991197,-32.7879590014107,09/01/15,0.434361,3.1,4,108,0
-62.3569253961958,-33.784509547111,09/01/15,0.3489915,60.8,4,124,0
-62.6200999743905,-32.9828567328643,09/01/15,0.3478014,3.5,4,114,0
-62.1836522227056,-32.865122727676,09/01/15,0.5006491,23.9,4,107,0
-62.7891576524787,-33.4453839361085,09/01/15,0.3922537,3.1,4,116,0
-62.1159983343392,-33.3376961449228,09/01/15,0.5805473,6.7,4,119,0
-62.1472177031919,-33.15777889313,09/01/15,0.5964445,5.5,4,112,0
-62.3957509613867,-32.9129725963166,09/01/15,0.504888,5.1,4,111,0
-62.2849002653099,-32.8193168280009,09/01/15,0.3255595,22.1,4,108,0
-62.2268084294358,-33.5109104163832,09/01/15,-0.04036558,3.7,4,108,1
-62.1788003617519,-33.5888367066383,09/01/15,0.1963354,2.9,4,115,0
-62.3029034994136,-33.8315633063284,09/01/15,0.6595524,14.7,4,118,0
-62.2288164324853,-33.6863983389273,09/01/15,0.6580248,5.6,4,123,0
-62.3097839755198,-33.6169369600166,09/01/15,0.537099,7,4,124,0
-62.2645873076773,-33.8012106290723,09/01/15,-0.06660881,5.1,4,112,1
-62.7523991103391,-33.8254230992231,09/01/15,-0.06431684,8.4,4,118,1
-62.2858148728122,-33.0587193134463,09/01/15,0.5349706,3.7,4,108,0
-62.4732409723948,-33.6200591147742,09/01/15,0.4798773,3.6,4,124,0
-62.3991708529071,-33.7701714005558,09/01/15,0.6310185,14.7,4,128,0
-62.1863726549695,-33.0664859318394,09/01/15,0.6524422,11.4,4,107,0
-62.2484696113074,-33.5920487528309,09/01/15,0.4354934,3.1,4,117,0
-62.1528601706866,-33.464861980819,09/01/15,0.6363379,55.7,4,119,0
-62.3748660647278,-33.0076576151905,09/01/15,0.3272955,6.7,4,101,0
-62.3556146570652,-32.8935470791148,09/01/15,0.4180937,11.2,4,104,0
-62.6994831184315,-33.5796263575076,09/01/15,0.4690422,2.7,4,121,0
-62.3496460644493,-33.2963439182652,09/01/15,0.5132397,12.6,4,117,0
-62.1446010541677,-33.244003177657,09/01/15,0.5954846,4.4,4,112,0
-62.2280435053335,-33.0254136096875,09/01/15,0.2108625,10.8,4,106,0
-62.1516226442034,-33.2309772636957,09/01/15,0.5134271,3.3,4,113,0
-62.3806289899207,-32.8857640591215,09/01/15,0.4626361,4.2,4,108,0
-62.3588161093462,-33.8223193080491,09/01/15,0.5680593,5.4,4,123,0
-62.1911571039001,-33.8044829377374,09/01/15,0.3391518,5.1,4,119,0
-62.1873110456193,-33.1455750729369,09/01/15,0.6313719,5.5,4,113,0
-62.2173215237026,-32.7925093748846,09/01/15,0.3281167,18.6,4,106,0
-62.1480647465847,-33.377895527263,09/01/15,0.3426669,38.5,4,117,0
-62.3281642338448,-33.6771054866542,09/01/15,0.4629337,4.4,4,119,0
-62.5758331584747,-32.8496326856742,09/01/15,0.6153499,56.1,4,118,0
-62.18303114993,-32.8919199010358,09/01/15,0.5249115,8.4,4,94,0
-62.1773631004408,-32.9873214200753,09/01/15,0.5556288,2.5,4,106,0
-62.6654614884904,-33.8161259533145,09/01/15,0.3090816,30.9,4,123,0
-62.1403845860944,-33.3696041688077,09/01/15,0.57298,1.8,4,118,0
-62.439774244321,-33.1536271169997,09/01/15,0.6292867,5.5,4,117,0
-62.163406917946,-33.04615291612,09/01/15,0.5218604,3.2,4,107,0
-62.2312210918812,-32.8829450631959,09/01/15,0.5342211,6.7,4,101,0
-62.3386029687838,-33.6844943550181,09/01/15,-0.1082592,3.7,4,114,1
-62.5386008466454,-33.4537508975426,09/01/15,-0.02294894,30.5,4,116,1
-62.2779750377276,-33.6274260724944,09/01/15,0.572428,36.6,4,129,0
-62.1637797239357,-33.8187330260632,09/01/15,0.3983567,26.9,4,116,0
-62.1860437647122,-33.52978108249,09/01/15,0.6431659,14.8,4,116,0
-62.3761980159336,-33.0788619636161,09/01/15,0.171118,3,4,109,0
-62.1749333967663,-33.1185273864232,09/01/15,0.6503312,1.8,4,115,0
-62.1600454073713,-33.1666443437908,09/01/15,0.6207572,2.2,4,113,0
-62.1493294175794,-33.6711208611204,09/01/15,0.270044,1,4,119,0
-62.2538963074099,-33.0804853740008,09/01/15,0.2343398,2.3,4,108,0
